pageid	place	reason
185647542	Công viên Trung Yên (Trung Yên Park), Trung Hòa, Cầu Giấy, Hanoi	confidence 0.60 < 0.7
185647544	Công viên Trung Yên (Trung Yên Park), Trung Hòa, Cầu Giấy, Hanoi	confidence 0.60 < 0.7
185652975	Công viên Trung Yên (Trung Yên Park), Trung Hòa, Cầu Giấy, Hanoi	confidence 0.60 < 0.7
74669790	Cung Văn hóa Hữu nghị Việt Xô (site of the 1902 Grand Palais d'Exposition), 91 Trần Hưng Đạo, Hanoi	'exposition' is not in the hit's name 'Cung Văn hóa Lao động Hữu nghị Việt Xô'
122878713	Phùng Khoang Station, Cát Linh–Hà Đông Line, Hanoi	confidence 0.60 < 0.7
140619272	Đoan Môn, Imperial Citadel of Thăng Long, Hanoi	stated locality 'Imperial Citadel of Thăng Long' not in the hit's address
66631792	Hàng Đậu Water Tower, Hàng Đậu, Hanoi	'dau' is not in the hit's name 'Agribank'
39696070	Hanoi Botanical Garden (Vườn Bách Thảo), Ba Đình, Hanoi	confidence 0.50 < 0.7
66864338	Tràng Tiền Plaza, Hoàn Kiếm, Hanoi	confidence 0.55 < 0.7
64218461	Hỏa Lò Prison, Hoàn Kiếm, Hanoi	'prison' is not in the hit's name 'Nhà tù Hỏa Lò'
106215033	Hỏa Lò Prison, Hoàn Kiếm, Hanoi	'prison' is not in the hit's name 'Nhà tù Hỏa Lò'
39696076	Hanoi Botanical Garden (Vườn Bách Thảo), Ba Đình, Hanoi	confidence 0.50 < 0.7
