title	query	reason
File:Lang HCM SuonPhai.JPG	Lang HCM SuonPhai, Hanoi, Vietnam	no specific feature found
File:Lang HCM Tre.JPG	Lang HCM Tre, Hanoi, Vietnam	no specific feature found
File:Quảng trường Ba Đình về đêm.JPG	Quảng trường Ba Đình về đêm, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh Mausoleum Vietnam 278.jpg	Ho Chi Minh Mausoleum Vietnam 278, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh Mausolée - 2003.jpg	Ho Chi Minh Mausolée, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh Mausoleum 2.jpg	Ho Chi Minh Mausoleum 2, Hanoi, Vietnam	'mausoleum' is not in the hit's name 'Bộ Tư lệnh Lăng Chủ tịch Hồ Chí Minh'
File:Ho Chi Minh Mausoleum in Hanoi3.JPG	Ho Chi Minh Mausoleum in Hanoi3	no specific feature found
File:Ho Chi Minh Mausoleum in Hanoi2.JPG	Ho Chi Minh Mausoleum in Hanoi2	no specific feature found
File:Ho Chi Minh Mausoleum in Hanoi1.JPG	Ho Chi Minh Mausoleum in Hanoi1	no specific feature found
File:Ho Chi Minh Mausoleum in Hanoi0.JPG	Ho Chi Minh Mausoleum in Hanoi0	no specific feature found
File:Ho Chi Minh Mausoleum-original-5.jpg	Ho Chi Minh Mausoleum-original-5, Hanoi, Vietnam	no specific feature found
File:Vn-hanoi-ho-chi-minh-mausoleum-03-08-07.jpg	Vn-hanoi-ho-chi-minh-mausoleum-03-08-07	no specific feature found
File:Lăng chủ tịch Hồ Chí Minh về đêm.jpg	Lăng chủ tịch Hồ Chí Minh về đêm, Hanoi, Vietnam	no specific feature found
File:HO CHI MINH MAUSOLEUM HANOI VIETNAM FEB 2012 (6911628746).jpg	HO CHI MINH MAUSOLEUM HANOI VIETNAM FEB	no specific feature found
File:HO CHI MINH MAUSOLEUM HA NOI VIETNAM FEB 2012 (6979089169).jpg	HO CHI MINH MAUSOLEUM HA NOI VIETNAM FEB	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112557021).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114782456).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114784438).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114781968).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112559893).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112561519).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112563135).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112562767).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114785784).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112564803).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114787950).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114787568).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114788648).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114780576).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9114779184).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh (9112555737).jpg	Visita y ofrenda floral en el Mausuleo del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh Mausoleum from the front.JPG	Ho Chi Minh Mausoleum from the front, Hanoi, Vietnam	no specific feature found
File:Mausoleo de Ho Chi Minh.JPG	Mausoleo de Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Lăng CT Hồ Chí Minh.jpg	Lăng CT Hồ Chí Minh, Hanoi, Vietnam	no specific feature found
File:Gifts displayed in the Ho Chi Minh Museum that Ho Chi Minh received from the Ha Tay province.jpg	Gifts displayed in the Ho Chi Minh Museum that Ho Chi Minh received from the Ha Tay province, Hanoi, Vietnam	no specific feature found
File:Ho Chi minh mausoleum 2.jpg	Ho Chi minh mausoleum 2, Hanoi, Vietnam	'mausoleum' is not in the hit's name 'Bộ Tư lệnh Lăng Chủ tịch Hồ Chí Minh'
File:Ho Chi minh mausoleum 3.jpg	Ho Chi minh mausoleum 3, Hanoi, Vietnam	no specific feature found
File:Ho Chi minh mausoleum 4.jpg	Ho Chi minh mausoleum 4, Hanoi, Vietnam	no specific feature found
File:Ho Chi minh mausoleum 5.jpg	Ho Chi minh mausoleum 5, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh's mausoleum (4856309286).jpg	Ho Chi Minh's mausoleum, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh's mausoleum (4856308670).jpg	Ho Chi Minh's mausoleum, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh's mausoleum (4855692589).jpg	Ho Chi Minh's mausoleum, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh's mausoleum (4856310156).jpg	Ho Chi Minh's mausoleum, Hanoi, Vietnam	no specific feature found
File:Rear view of Ho Chi Minh Mausoleum.jpg	Rear view of Ho Chi Minh Mausoleum, Hanoi, Vietnam	no specific feature found
File:The President, Smt. Pratibha Devisingh Patil at the Ho Chi Minh Mausoleum to lay wreath, in Hanoi, Vietnam on November 28, 2008.jpg	The President, Smt. Pratibha Devisingh Patil at the Ho Chi Minh Mausoleum to lay wreath, in Hanoi, Vietnam on November 28	no specific feature found
File:The President, Smt. Pratibha Devisingh Patil laying wreath at the Ho Chi Minh Mausoleum, in Hanoi, Vietnam on November 28, 2008.jpg	The President, Smt. Pratibha Devisingh Patil laying wreath at the Ho Chi Minh Mausoleum, in Hanoi, Vietnam on November 28	no specific feature found
File:Faurie - Ofrenda floral a Ho Chi Minh.jpg	Faurie - Ofrenda floral a Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:Hanoi, Vietnam, The Ho Chi Minh Mausoleum.jpg	Hanoi, Vietnam, The Ho Chi Minh Mausoleum	no specific feature found
File:Hanoi, Vietnam, Ba Dinh Square and Ho Chi Minh Mausoleum.jpg	Hanoi, Vietnam, Ba Dinh Square and Ho Chi Minh Mausoleum	no specific feature found
File:Hanoi, Vietnam, Ho Chi Minh Mausoleum on Ba Dinh Square.jpg	Hanoi, Vietnam, Ho Chi Minh Mausoleum on Ba Dinh Square	no specific feature found
File:Ho Chi Minh Mausoleum in Hanoi front left.jpg	Ho Chi Minh Mausoleum in Hanoi front left	no specific feature found
File:Gardeners in the Ho Chi Minh Mausoleum - Vietnam (15860257192).jpg	Gardeners in the Ho Chi Minh Mausoleum - Vietnam, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh ohne Kinder (7068937045).jpg	Ho Chi Minh ohne Kinder, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh mausoleum in 2003.jpg	Ho Chi Minh mausoleum in, Hanoi, Vietnam	no specific feature found
File:Ho Chi Minh mausoleum in 2003 2.jpg	Ho Chi Minh mausoleum in 2, Hanoi, Vietnam	no specific feature found
File:Quảng trường Ba Đình - NKS.jpg	Quảng trường Ba Đình - NKS, Hanoi, Vietnam	no specific feature found
File:Vietnam 1999.Hanoi.Mausolée d'Ho Chi Minh (15).jpg	Vietnam .Hanoi.Mausolée d'Ho Chi Minh	no specific feature found
File:Vietnam 1999.Hanoi.Mausolée d'Ho Chi Minh (33).jpg	Vietnam .Hanoi.Mausolée d'Ho Chi Minh	no specific feature found
File:Mausoleum of Ho Chi Minh, February 2025.jpg	Mausoleum of Ho Chi Minh, February, Hanoi, Vietnam	no specific feature found
File:Couple posing for the Ho Chi Minh Mausoleum (1).jpg	Couple posing for the Ho Chi Minh Mausoleum, Hanoi, Vietnam	no specific feature found
File:Ngan Hang Phuong Dong office in Hoan Kiem.jpg	Ngan Hang Phuong Dong office in Hoan Kiem, Hanoi, Vietnam	no specific feature found
File:Bản vẽ thành Hà Nội chỉ dẫn các tuyến phố và công trình chính xây theo phong cách hiện đại lập năm 1942.jpg	Bản vẽ thành Hà Nội chỉ dẫn các tuyến phố và công trình chính xây theo phong cách hiện đại lập năm	no specific feature found
File:Visita a la Casa de madera del Presidente Ho Chi Minh (9112611397).jpg	Visita a la Casa de madera del Presidente Ho Chi Minh, Hanoi, Vietnam	no specific feature found
File:2003, Ho Chi Minh's house on a rainy day 3.jpg	Ho Chi Minh's house on a rainy day 3, Hanoi, Vietnam	no specific feature found
File:2003, Ho Chi Minh's house on a rainy day 5.jpg	Ho Chi Minh's house on a rainy day 5, Hanoi, Vietnam	no specific feature found
File:2003, Ho Chi Minh's house on a rainy day 6.jpg	Ho Chi Minh's house on a rainy day 6, Hanoi, Vietnam	no specific feature found
File:2003, Ho Chi Minh's house on a rainy day 7.jpg	Ho Chi Minh's house on a rainy day 7, Hanoi, Vietnam	no specific feature found
File:2003, Ho Chi Minh's house on a rainy day 8.jpg	Ho Chi Minh's house on a rainy day 8, Hanoi, Vietnam	no specific feature found
File:2003, Ho Chi Minh's house on a rainy day 9.jpg	Ho Chi Minh's house on a rainy day 9, Hanoi, Vietnam	no specific feature found
File:Vietnam-Hanoi-Ho Chi Minh’s house-P1070164.jpg	Vietnam-Hanoi-Ho Chi Minh’s house	'chi' is not in the hit's name 'Nhà sàn Bác Hồ'
File:Vietnam-Hanoi-Ho Chi Minh’s house-P1070162.jpg	Vietnam-Hanoi-Ho Chi Minh’s house	'chi' is not in the hit's name 'Nhà sàn Bác Hồ'
File:Just in case your life's desire is to see Uncle Ho's used cars. (1344753510).jpg	Just in case your life's desire is to see Uncle Ho's used cars, Hanoi, Vietnam	no specific feature found
File:Part of the Ho complex. (1344754234).jpg	Part of the Ho complex, Hanoi, Vietnam	no specific feature found
File:ĐườngSắt@đườngPhố.jpg	ĐườngSắt@đườngPhố, Hanoi, Vietnam	no specific feature found
File:Phuc-nguyen-duong-cua-hang.jpg	Phuc-nguyen-duong-cua-hang, Hanoi, Vietnam	no specific feature found
File:BoBaPop, 6 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam (2).jpg	BoBaPop, 6 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam	one-word title matched to a shop or restaurant
File:BoBaPop, 6 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam (1).jpg	BoBaPop, 6 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam	one-word title matched to a shop or restaurant
File:Ding Tea, 69 Quang Trung Street, Hai Ba Trung District, Hanoi, Vietnam (01).jpg	Ding Tea, 69 Quang Trung Street, Hai Ba Trung District, Hanoi, Vietnam	stated locality '69 Quang Trung Street' not in the hit's address
File:Ding Tea, 103 Cau Dien Road, Bac Tu Liem District, Hanoi, Vietnam (02).jpg	Ding Tea, 103 Cau Dien Road, Bac Tu Liem District, Hanoi, Vietnam	stated locality '103 Cau Dien Road' not in the hit's address
File:BoBaPop, 56 Nguyen Phong Sac Road, Cau Giay District, Hanoi, Vietnam (1).jpg	BoBaPop, 56 Nguyen Phong Sac Road, Cau Giay District, Hanoi, Vietnam	a road is not a site (highway/secondary)
File:Gong Cha, 56 Ly Thuong Kiet Street, Hoan Kiem District, Hanoi, Vietnam (1).jpg	Gong Cha, 56 Ly Thuong Kiet Street, Hoan Kiem District, Hanoi, Vietnam	stated locality '56 Ly Thuong Kiet Street' not in the hit's address
File:Yu Tang Tea House, 60 Ly Thuong Kiet Street, Hoan Kiem District, Hanoi, Vietnam (1).jpg	Yu Tang Tea House, 60 Ly Thuong Kiet Street, Hoan Kiem District, Hanoi, Vietnam	'tea' is not in the hit's name '60'
File:Bubble tea by Bumba (44 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam).jpg	Bubble tea by Bumba, Hanoi, Vietnam	no specific feature found
File:Uncle Tea, 82 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam (3).jpg	Uncle Tea, 82 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam	a road is not a site (highway/trunk)
File:Royaltea (Guangdong), 144 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam (3).jpg	Royaltea (Guangdong), 144 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam	'guangdong' is not in the hit's name 'Royaltea'
File:Tw Bubble Tea, 136 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam (1).jpg	Tw Bubble Tea, 136 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam	'bubble' is not in the hit's name 'Trường Đại học Sư phạm Hà Nội'
File:Sạp báo 110A1 đường Giảng Võ, quận Ba Đình, Hà Nội (A newspaper kiosk at 110A1 Giang Vo Road, Ba Dinh District, Hanoi, Vietnam).jpg	Sạp báo 110A1 đường Giảng Võ, quận Ba Đình, Hà Nội (A newspaper kiosk at 110A1 Giang Vo Road, Ba Dinh District, Hanoi, Vietnam)	no specific feature found
File:Royaltea (Guangdong), 44 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam (02).jpg	Royaltea (Guangdong), 44 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam	'guangdong' is not in the hit's name 'Royaltea'
File:Tw Bubble Tea, 136 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam (2).jpg	Tw Bubble Tea, 136 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam	'bubble' is not in the hit's name 'Trường Đại học Sư phạm Hà Nội'
File:Royaltea (Guangdong), 144 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam (2).jpg	Royaltea (Guangdong), 144 Xuan Thuy Road, Cau Giay District, Hanoi, Vietnam	'guangdong' is not in the hit's name 'Royaltea'
File:Bumba, 44 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam (02).jpg	Bumba, 44 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam	a road is not a site (highway/trunk)
File:Royaltea (Guangdong), 300-302 Nguyen Trai Road, Thanh Xuan District, Hanoi, Vietnam (01).jpg	Royaltea (Guangdong), 300-302 Nguyen Trai Road, Thanh Xuan District, Hanoi, Vietnam	'guangdong' is not in the hit's name 'Royaltea'
File:A bubble tea shop, 304 Nguyen Trai, Thanh Xuan District, Hanoi, Vietnam.jpg	A bubble tea shop, 304 Nguyen Trai, Thanh Xuan District, Hanoi, Vietnam	a road is not a site (highway/trunk)
File:Uncle Tea, 82 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam (4).jpg	Uncle Tea, 82 Ho Tung Mau Road, Cau Giay District, Hanoi, Vietnam	a road is not a site (highway/trunk)
File:LiHo Tea (Singapore), 43 Hang Dau Street, Hoan Kiem District, Hanoi, Vietnam (02).jpg	LiHo Tea (Singapore), 43 Hang Dau Street, Hoan Kiem District, Hanoi, Vietnam	a road is not a site (highway/tertiary)
File:Bubble tea by Goky (45 Nguyen Chi Thanh Road, Ba Dinh District, Hanoi, Vietnam).jpg	Bubble tea by Goky, Hanoi, Vietnam	no specific feature found
File:Goky, 45 Nguyen Chi Thanh Road, Ba Dinh District, Hanoi, Vietnam (02).jpg	Goky, 45 Nguyen Chi Thanh Road, Ba Dinh District, Hanoi, Vietnam	'goky' is not in the hit's name '45'
File:GONG CHA DingYu, 67A Hang Bong, Hoan Kiem District, Hanoi, Vietnam (02).jpg	GONG CHA DingYu, 67A Hang Bong, Hoan Kiem District, Hanoi, Vietnam	a road is not a site (highway/tertiary)
File:Meet and More (South Korea), 275 Tran Quoc Hoan Road, Cau Giay District, Hanoi, Vietnam (02).jpg	Meet and More (South Korea), 275 Tran Quoc Hoan Road, Cau Giay District, Hanoi, Vietnam	no specific feature found
File:Meet and More (South Korea), 275 Tran Quoc Hoan Road, Cau Giay District, Hanoi, Vietnam (01).jpg	Meet and More (South Korea), 275 Tran Quoc Hoan Road, Cau Giay District, Hanoi, Vietnam	no specific feature found
File:Meet and More (South Korea), 275 Tran Quoc Hoan Road, Cau Giay District, Hanoi, Vietnam (03).jpg	Meet and More (South Korea), 275 Tran Quoc Hoan Road, Cau Giay District, Hanoi, Vietnam	no specific feature found
File:Cửa hàng băng đĩa ở 161A phố Vọng, quận Hai Bà Trưng, Hà Nội (A record shop at 161A Vong Street, Hai Ba Trung District, Hanoi, Vietnam) (01).jpg	Cửa hàng băng đĩa ở 161A phố Vọng, quận Hai Bà Trưng, Hà Nội (A record shop at 161A Vong Street, Hai Ba Trung District, Hanoi, Vietnam)	no specific feature found
File:Cửa hàng băng đĩa ở 161A phố Vọng, quận Hai Bà Trưng, Hà Nội (A record shop at 161A Vong Street, Hai Ba Trung District, Hanoi, Vietnam) (02).jpg	Cửa hàng băng đĩa ở 161A phố Vọng, quận Hai Bà Trưng, Hà Nội (A record shop at 161A Vong Street, Hai Ba Trung District, Hanoi, Vietnam)	no specific feature found
File:Royaltea (Guangdong), 181 Tran Dai Nghia Street, Hai Ba Trung District, Hanoi, Vietnam (01).jpg	Royaltea (Guangdong), 181 Tran Dai Nghia Street, Hai Ba Trung District, Hanoi, Vietnam	'guangdong' is not in the hit's name 'Royaltea'
File:MIXUE (Hong Kong), 179 Tran Dai Nghia Street, Hai Ba Trung District, Hanoi, Vietnam (01).jpg	MIXUE (Hong Kong), 179 Tran Dai Nghia Street, Hai Ba Trung District, Hanoi, Vietnam	'hong' is not in the hit's name 'Mixue'
File:LiHo Tea (Singapore), 16 Pham Ngoc Thach Street, Dong Da District, Hanoi, Vietnam (01).jpg	LiHo Tea (Singapore), 16 Pham Ngoc Thach Street, Dong Da District, Hanoi, Vietnam	'liho' is not in the hit's name 'Đầm bầu Mom Baby'
File:Hang ban dau pho To Tich.jpg	Hang ban dau pho To Tich, Hanoi, Vietnam	no specific feature found
File:TocoToco, 47 Nui Truc Street, Ba Dinh District, Hanoi, Vietnam 001.jpg	TocoToco, 47 Nui Truc Street, Ba Dinh District, Hanoi, Vietnam 001	one-word title matched to a shop or restaurant
File:TocoToco, 47 Nui Truc Street, Ba Dinh District, Hanoi, Vietnam 002.jpg	TocoToco, 47 Nui Truc Street, Ba Dinh District, Hanoi, Vietnam 002	one-word title matched to a shop or restaurant
"File:Une exposition d'objets votifs en papier à l'entrée d'un temple, dans la "" rue des Chapeaux "" - A6621.jpg"	"Une exposition d'objets votifs en papier à l'entrée d'un temple, dans la "" rue des Chapeaux "" - A6621, Hanoi, Vietnam"	no specific feature found
"File:Une exposition d'objets votifs en papier à l'entrée d'un temple, dans la "" rue des Chapeaux "" - A6622.jpg"	"Une exposition d'objets votifs en papier à l'entrée d'un temple, dans la "" rue des Chapeaux "" - A6622, Hanoi, Vietnam"	no specific feature found
File:Truong hoc vien tai chinh.jpg	Truong hoc vien tai chinh, Hanoi, Vietnam	no specific feature found
File:Newone - Vinh Tuy bridge 2018.jpg	Newone - Vinh Tuy bridge, Hanoi, Vietnam	no specific feature found
File:Newone - Thanh Tri bridge.jpg	Newone - Thanh Tri bridge, Hanoi, Vietnam	no specific feature found
File:Newone - ô ăn quan.jpg	Newone - ô ăn quan, Hanoi, Vietnam	no specific feature found
File:Newone - cầu vượt Park Hill, Tỉmes City.jpg	Newone - cầu vượt Park Hill, Tỉmes City, Hanoi, Vietnam	'hill' is not in the hit's name 'Vinhomes Times City'
File:Trường quốc tế liên cấp Việt-Úc Hà Nội.jpg	Trường quốc tế liên cấp Việt-Úc Hà Nội	no specific feature found
File:Trường HSGS ở Lương Thế Vinh.png	Trường HSGS ở Lương Thế Vinh, Hanoi, Vietnam	no specific feature found
File:4-truong nu.png	4-truong nu, Hanoi, Vietnam	no specific feature found
File:4-truong y.png	4-truong y, Hanoi, Vietnam	a road is not a site (highway/service)
File:Trường TH Vietschool.jpg	Trường TH Vietschool, Hanoi, Vietnam	'th' is not in the hit's name 'Trường Liên cấp Trung học cơ sở - Tiểu h'
File:A Police Hospital in Hanoi city 2017.jpg	A Police Hospital in Hanoi city	no specific feature found
File:Khoa Điều Trị Theo Yêu Cầu, Hà Nội - Sep 5, 2023.jpg	Khoa Điều Trị Theo Yêu Cầu, Hà Nội - Sep 5	no specific feature found
File:Bệnh viện Đại học Y Dược, Đại học Quốc gia Hà Nội.jpg	Bệnh viện Đại học Y Dược, Đại học Quốc gia Hà Nội	stated locality 'Đại học Quốc gia Hà Nội' not in the hit's address
File:Bệnh viện Đại học Y Dược, Đại học Quốc gia Hà Nội IMG.jpg	Bệnh viện Đại học Y Dược, Đại học Quốc gia Hà Nội	stated locality 'Đại học Quốc gia Hà Nội' not in the hit's address
File:Phòng Khám Đa Khoa 182 Lương Thế Vinh – Bệnh Viện Đại Học Quốc Gia Hà Nội.jpg	Phòng Khám Đa Khoa 182 Lương Thế Vinh – Bệnh Viện Đại Học Quốc Gia Hà Nội	no specific feature found
File:Lights reflecting in Hoan Kiem Lake (38457936020).jpg	Lights reflecting in Hoan Kiem Lake, Hanoi, Vietnam	no specific feature found
File:Tòa nhà bưu điện trung tâm nhìn từ bên kia hồ Hoàn Kiếm.jpg	Tòa nhà bưu điện trung tâm nhìn từ bên kia hồ Hoàn Kiếm, Hanoi, Vietnam	no specific feature found
File:Bưu điện trên đường Đinh Tiên Hoàng giáp phố Đinh Lễ xưa.jpg	Bưu điện trên đường Đinh Tiên Hoàng giáp phố Đinh Lễ xưa, Hanoi, Vietnam	no specific feature found
File:Warm morning of Pháo Đài Láng Street 02-02-2026. Alleyway.jpg	Warm morning of Pháo Đài Láng Street 02-02- . Alleyway, Hanoi, Vietnam	no specific feature found
File:On Pháo Đài Láng Street 02-03-2026. Cars in the alleyway.jpg	On Pháo Đài Láng Street 02-03- . Cars in the alleyway, Hanoi, Vietnam	no specific feature found
File:Tuong dai chien thang Chi Lang.JPG	Tuong dai chien thang Chi Lang, Hanoi, Vietnam	no specific feature found
File:Lê Lợi's victory over 100,000 Ming invaders from China in 1427 AD - Chi Lang Pass (Ải Chi Lăng) - Museum of Vietnamese History - Ho Chi Minh City - DSC06005.JPG	Lê Lợi's victory over 100,000 Ming invaders from China in AD - Chi Lang Pass (Ải Chi Lăng) - Museum of Vietnamese History - Ho Chi Minh City - DSC06005, Hanoi, Vietnam	no specific feature found
File:Vinh tomb temple.jpg	Vinh tomb temple, Hanoi, Vietnam	no specific feature found
File:Ngo Bau Chau MFO.jpg	Ngo Bau Chau MFO, Hanoi, Vietnam	no specific feature found
File:Mai Phuong Thuy Vietnam Festival 2008 in Japan.jpg	Mai Phuong Thuy Vietnam Festival in Japan, Hanoi, Vietnam	no specific feature found
File:Miss Vietnam 2006 Mai Phuong Thuy.jpg	Miss Vietnam Mai Phuong Thuy, Hanoi, Vietnam	no specific feature found
File:Miss Vietnam - Phuong Thuy 2.jpg	Miss Vietnam - Phuong Thuy 2, Hanoi, Vietnam	no specific feature found
File:Mai Phuong Thuy Miss Vietnam 2006.jpg	Mai Phuong Thuy Miss Vietnam, Hanoi, Vietnam	no specific feature found
File:DSC01589 Miss Vietnam 2006 Mai Phuong Thuy.jpg	DSC01589 Miss Vietnam Mai Phuong Thuy, Hanoi, Vietnam	no specific feature found
File:Miss Vietnam 2006 Mai Phuong Thuy 70025.jpg	Miss Vietnam Mai Phuong Thuy, Hanoi, Vietnam	no specific feature found
File:Miss Vietnam Mai Phuong Thuy and BeGiang104.jpg	Miss Vietnam Mai Phuong Thuy and BeGiang104, Hanoi, Vietnam	no specific feature found
File:Miss Vietnam 2006 - Mai Phuong Thuy.jpg	Miss Vietnam - Mai Phuong Thuy, Hanoi, Vietnam	no specific feature found
File:Mai Phuong Thuy 16 November 2013.jpg	Mai Phuong Thuy 16 November, Hanoi, Vietnam	no specific feature found
File:Mai Phuong Thuy Vietnam Festival 2008 in Japan (cropped).jpg	Mai Phuong Thuy Vietnam Festival in Japan (cropped), Hanoi, Vietnam	no specific feature found
File:Walk along Trần Duy Hưng Street 11-03-2026 E03.jpg	Walk along Trần Duy Hưng Street 11-03- E03, Hanoi, Vietnam	no specific feature found
File:Bé gái cho gà ăn, 46x38.JPG	Bé gái cho gà ăn, 46x38, Hanoi, Vietnam	no specific feature found
File:Lake of Sighs (Hô Than Thở).jpg	Lake of Sighs (Hô Than Thở), Hanoi, Vietnam	no specific feature found
File:Floraison d'abrasins (fleurs femelles) (Centre de recherches scientifiques et techniques, station de Xiengkhouang, Laos) - Vo An Ninh ; René Schneyder - btv1b101199033 (1 of 2).jpg	Floraison d'abrasins (fleurs femelles) (Centre de recherches scientifiques et techniques, station de Xiengkhouang, Laos) - Vo An Ninh ; René Schneyder - btv1b101199033, Hanoi, Vietnam	no specific feature found
File:Floraison d'abrasins (fleurs femelles) (Centre de recherches scientifiques et techniques, station de Xiengkhouang, Laos) - Vo An Ninh ; René Schneyder - btv1b101199033 (2 of 2).jpg	Floraison d'abrasins (fleurs femelles) (Centre de recherches scientifiques et techniques, station de Xiengkhouang, Laos) - Vo An Ninh ; René Schneyder - btv1b101199033, Hanoi, Vietnam	no specific feature found
File:Jeune plantation d'abrasins avec couverture de Tithonia sp. (Centre de recherches scientifiques et techniques, station de Blao, Haut Donnaï (Annam)) - Vo An Ninh ; René Schneyder - btv1b101201646 (1 of 2).jpg	Jeune plantation d'abrasins avec couverture de Tithonia sp. (Centre de recherches scientifiques et techniques, station de Blao, Haut Donnaï (Annam)) - Vo An Ninh ; René Schneyder - btv1b101201646, Hanoi, Vietnam	no specific feature found
File:Jeune plantation d'abrasins avec couverture de Tithonia sp. (Centre de recherches scientifiques et techniques, station de Blao, Haut Donnaï (Annam)) - Vo An Ninh ; René Schneyder - btv1b101201646 (2 of 2).jpg	Jeune plantation d'abrasins avec couverture de Tithonia sp. (Centre de recherches scientifiques et techniques, station de Blao, Haut Donnaï (Annam)) - Vo An Ninh ; René Schneyder - btv1b101201646, Hanoi, Vietnam	no specific feature found
File:Elevage de chevaux (Centre de recherches scientifiques et techniques, station de Blao, Haut Donnaï (Annam)) - Vo An Ninh ; René Schneyder - btv1b101201663 (1 of 2).jpg	Elevage de chevaux (Centre de recherches scientifiques et techniques, station de Blao, Haut Donnaï (Annam)) - Vo An Ninh ; René Schneyder - btv1b101201663, Hanoi, Vietnam	no specific feature found
